model,acc,eval_loss,model_size,mean_ms,std_ms,min_ms,max_ms,median_ms,task
teacher,0.9243119266055045,0.27603111003658604,417.84807300567627,2849.7163933342867,21.393664559562183,2802.9301000060514,2898.6564000078943,2848.4172000025865,SST
tinybert_uniform,0.9059633027522935,0.26077235396951437,54.817710876464844,213.1759400004133,2.3539680016908453,208.2471999892732,218.92610000213608,213.4533500066027,SST
tinybert_top,0.8795871559633027,0.31913939357868265,54.817710876464844,212.57710999974128,1.847349830236215,207.20869999786373,217.3534000030486,212.5056000004406,SST
tinybert_bottom,0.8784403669724771,0.33087839239409994,54.817710876464844,213.20920999714872,1.5878236075843088,208.8036000059219,215.89719998883083,213.08609999687178,SST
quant_1,0.5091743119266054,0.7236370657171521,105.2336540222168,3450.947330001994,17.183986281541014,3415.411199996015,3497.024900003453,3451.204900004086,SST
quant_2,0.5103211009174312,0.7192118551049914,105.03478813171387,1440.4719799984985,7.365647119375992,1427.2956999921007,1456.0891000000993,1439.483800000744,SST
