model,mcc,eval_loss,model_size,mean_ms,std_ms,min_ms,max_ms,median_ms,task
teacher,0.40558505179035165,0.6007971474618623,417.84807300567627,2800.5742266672314,65.59601137673332,2647.0224000076996,2871.650699991733,2823.12985000317,COLA
tinybert_uniform,0.23017831057043348,0.6284966179818818,54.817710876464844,215.6612199973703,12.749933737332062,207.84489999641664,282.29319999809377,213.42454999830807,COLA
tinybert_top,0.1613134168690308,0.633550122831807,54.817710876464844,213.4959166670645,3.3583197916391976,209.12549999775365,228.65699999965727,213.66685000248253,COLA
tinybert_bottom,0.05783382654286213,0.6128126129959569,54.817710876464844,213.37823333354513,2.2227344822237027,205.9334000077797,216.17600000172388,214.1921500005992,COLA
quant_1,0.025690322354642595,0.6497045845696421,105.23359394073486,3412.561406666646,54.038733589718305,3304.514100003871,3515.093900001375,3400.2253499929793,COLA
quant_2,-0.004094348593533731,0.6527128924023021,105.03479480743408,1428.305973332802,10.379665702293101,1405.8343999931822,1446.0182000038913,1429.5077499991748,COLA
